x,y,z,class
"[-9.5320638, -9.2574776, -9.4928372, -9.5320638, -8.9044382, -9.8458766, -9.3751574, -9.1397978, -9.4928372, -8.825985, -9.3751574, -9.1790244, -9.610517, -9.414384, -10.2773692, -9.3751574, -9.9243298, -9.0613446, -10.2381426, -9.1397978]","[0.1176798, 0.0, 0.0392266, 0.0392266, 0.196133, -0.1569064, 0.4707192, 0.392266, 0.0392266, 0.196133, 0.392266, 0.3138128, 0.0784532, -0.2353596, 0.588399, 0.196133, 0.0, 0.2353596, 0.1569064, 0.196133]","[2.7066354, 2.353596, 2.1966896, 2.0397832, 2.6281822, 2.157463, 2.0397832, 2.2751428, 2.353596, 2.157463, 2.353596, 2.2359162, 2.1182364, 2.0397832, 2.157463, 2.3928226, 2.2359162, 2.3143694, 2.353596, 2.3928226]",6
"[-8.9436648, -9.2574776, -9.8851032, -8.433719, -9.3359308, -10.0420096, -9.2967042, -9.6497436, -8.041453, -9.9243298, -8.7867584, -9.2574776, -9.8458766, -10.1596894, -8.9044382, -10.0812362, -9.7281968, -9.5320638, -9.7674234, -10.0812362]","[0.392266, 0.3530394, 0.1569064, 0.4707192, 0.5491724, -0.0784532, 0.196133, 0.392266, -0.0392266, -0.4707192, 0.196133, 0.0, 0.1569064, 0.588399, -0.1176798, -0.0392266, 0.196133, 0.1176798, 0.0392266, 0.2353596]","[2.3928226, 1.96133, 2.2751428, 2.2359162, 1.7259704, 2.3928226, 2.1182364, 2.7850886, 2.2359162, 2.6674088, 2.3928226, 2.1966896, 1.8044236, 1.6867438, 2.0790098, 2.5105024, 2.1966896, 2.157463, 2.7850886, 2.5889556]",6
"[-9.2967042, -9.9635564, -9.7281968, -9.2967042, -10.1204628, -11.0619012, -8.7083052, -9.3359308, -9.5712904, -10.5127288, -9.022118, -9.2574776, -9.610517, -7.8845466, -9.610517, -9.6889702, -9.8851032, -8.5121722, -9.9243298, -8.9828914]","[0.1569064, -0.0392266, -0.392266, -0.6276256, 0.3530394, 0.1176798, -0.4314926, -0.5491724, 0.3530394, 0.0392266, -0.4314926, -0.6276256, 0.7453054, 0.6668522, 0.4314926, 0.8629852, 0.5099458, 0.196133, 0.3138128, 0.3530394]","[2.0397832, 1.8044236, 2.4712758, 2.5889556, 2.0005566, 2.0005566, 2.745862, 2.5889556, 2.2751428, 2.1182364, 2.9027684, 2.1182364, 2.2751428, 2.157463, 2.2751428, 2.0005566, 2.1966896, 2.3928226, 2.9027684, 1.8828768]",6
"[-9.7281968, -9.5320638, -8.5906254, -9.3359308, -9.3751574, -9.3751574, -9.6497436, -9.0613446, -9.218251, -10.002783, -9.7674234, -9.5712904, -9.5712904, -9.3751574, -10.0812362, -9.2967042, -9.4536106, -9.9243298, -9.7281968, -9.8851032]","[0.1569064, 0.0392266, 0.3530394, 0.1176798, 0.1569064, -0.0784532, 0.3530394, 0.2745862, 0.392266, 0.0, -0.0392266, 0.4707192, 0.5491724, 0.3530394, 0.4314926, 0.6276256, 0.3138128, 0.2353596, 0.1569064, 0.4707192]","[2.0790098, 3.1773546, 2.549729, 1.9221034, 2.1966896, 2.7850886, 2.6281822, 1.6475172, 2.3143694, 2.1966896, 2.2751428, 2.3928226, 2.1966896, 2.0397832, 1.765197, 2.157463, 2.0790098, 2.3143694, 2.1182364, 2.2359162]",6
"[-9.218251, -8.5121722, -10.4735022, -10.1596894, -8.5121722, -9.610517, -10.7088618, -10.0420096, -9.2967042, -8.433719, -9.022118, -9.4536106, -9.0613446, -8.0806796, -10.1204628, -9.414384, -9.80665, -9.610517, -9.4536106, -8.9436648]","[0.3138128, 0.0784532, -0.0392266, 0.0784532, 0.784532, 0.8237586, 0.0, 0.4314926, 0.4314926, 0.5099458, 0.0392266, 0.392266, 0.0, 0.9414384, 0.4707192, 0.1176798, 0.0, 0.6668522, 0.6276256, -0.196133]","[2.3928226, 2.2751428, 2.4712758, 2.2359162, 2.0790098, 1.569064, 2.5105024, 2.157463, 2.2359162, 1.372931, 2.2359162, 2.549729, 2.6674088, 1.372931, 2.5889556, 2.4320492, 2.6674088, 1.6867438, 2.0005566, 1.9221034]",6
"[-9.8458766, -9.022118, -9.2967042, -8.9436648, -9.8458766, -10.5519554, -11.571847, -8.5121722, -9.5712904, -9.7674234, -9.9635564, -8.7083052, -8.9436648, -9.7281968, -8.8652116, -9.9243298, -8.5906254, -9.9635564, -8.9044382, -9.9635564]","[-0.0784532, 0.4707192, 0.4707192, -0.7453054, 0.0784532, 0.784532, 0.3530394, -0.5491724, -0.6668522, 0.6276256, 0.196133, -0.392266, 1.0983448, 0.4314926, 0.3138128, 0.4314926, -0.196133, 0.1176798, 0.1569064, 0.3138128]","[2.7850886, 1.8436502, 2.1182364, 2.7066354, 2.4320492, 2.1182364, 1.2944778, 2.8635418, 2.2751428, 1.8044236, 2.0005566, 2.5889556, 1.8044236, 2.1182364, 2.2359162, 2.2359162, 2.5889556, 2.4320492, 2.4320492, 2.3143694]",6
"[-9.4928372, -9.610517, -9.2574776, -9.6889702, -9.80665, -9.8458766, -8.5906254, -9.6497436, -9.4928372, -9.022118, -9.3359308, -9.1397978, -9.414384, -8.9828914, -9.5712904, -8.9828914, -9.4536106, -9.5712904, -9.6497436, -8.9828914]","[0.4707192, -0.0392266, 0.0392266, 0.2353596, 0.1569064, 0.0392266, 0.3530394, 0.3138128, 0.5099458, 0.6668522, 0.1569064, 0.196133, 0.392266, 0.7060788, 0.1569064, 0.2745862, 0.3138128, 0.2745862, -0.4314926, 0.2353596]","[2.157463, 2.2359162, 2.5889556, 2.1182364, 1.6867438, 1.8828768, 2.5105024, 2.4320492, 2.0397832, 2.2751428, 2.0005566, 1.8828768, 2.3928226, 2.0397832, 2.2359162, 2.1966896, 2.157463, 2.353596, 2.4320492, 2.353596]",6
"[-9.9635564, -8.825985, -9.0613446, -9.7281968, -10.3165958, -8.825985, -9.6889702, -9.8458766, -9.5712904, -9.5320638, -8.3552658, -9.4536106, -9.2967042, -9.1397978, -8.237586, -9.1397978, -9.6889702, -9.2574776, -9.0613446, -9.2574776]","[0.2353596, 0.2353596, 0.6276256, 0.6276256, 0.5099458, 0.5099458, 0.588399, 0.7060788, 0.0, 0.0784532, 0.588399, 0.196133, -0.0392266, 0.0784532, 0.2745862, 0.2353596, 0.4707192, 0.3530394, 0.588399, 0.3530394]","[2.2751428, 2.2751428, 2.5889556, 2.1182364, 2.2359162, 2.1966896, 2.6281822, 2.0397832, 2.2751428, 2.6674088, 1.8436502, 2.2751428, 2.3143694, 2.4320492, 1.6082906, 2.2359162, 2.2359162, 2.6281822, 1.8044236, 2.2359162]",6
"[-8.9828914, -10.198916, -9.414384, -9.3359308, -9.9635564, -10.0812362, -10.4735022, -9.9635564, -9.2967042, -8.7475318, -9.2574776, -9.414384, -9.2967042, -8.9436648, -9.4536106, -9.80665, -9.3751574, -9.6889702, -9.5712904, -9.6889702]","[-0.1176798, 0.1569064, 0.7060788, 0.4707192, -0.0784532, 0.4707192, 1.3337044, 0.7453054, -0.3138128, -0.0784532, 0.980665, 0.5099458, -0.5491724, -0.6276256, 0.2353596, 0.4314926, 0.0392266, 0.5099458, 0.5099458, 0.6668522]","[2.3143694, 2.5105024, 2.1182364, 2.157463, 2.157463, 2.6674088, 1.7259704, 1.2552512, 2.7850886, 2.3143694, 1.8828768, 1.6082906, 2.745862, 2.8635418, 2.1182364, 2.0005566, 2.8243152, 2.157463, 2.2751428, 1.9221034]",6
"[-9.4928372, -8.825985, -9.610517, -9.4928372, -9.414384, -8.9436648, -9.022118, -9.5320638, -9.414384, -9.9635564, -9.5712904, -8.8652116, -9.9635564, -10.002783, -10.198916, -9.6889702, -9.2967042, -9.5712904, -9.5712904, -9.414384]","[0.5099458, 0.2353596, -0.0392266, 0.0, 0.2353596, 0.5491724, 0.588399, 0.0392266, 0.3530394, 0.3138128, 0.3530394, 0.3138128, 0.392266, 0.9022118, 0.392266, 0.1176798, 0.0392266, 0.7453054, 0.6276256, 0.4314926]","[2.7850886, 2.2359162, 1.3337044, 2.9812216, 2.157463, 1.7259704, 2.2359162, 2.8243152, 1.765197, 1.6475172, 2.1182364, 3.4127142, 2.157463, 2.0397832, 2.0397832, 2.157463, 1.8828768, 2.1966896, 2.3928226, 2.3143694]",6
