x,y,z,class
"[-9.6497436, -9.5712904, -9.5712904, -9.5320638, -9.5320638, -9.4928372, -9.3751574, -9.5712904, -9.610517, -9.6497436, -9.414384, -9.3751574, -9.80665, -9.2967042, -9.2574776, -9.5712904, -9.414384, -9.5320638, -9.1790244, -9.414384]","[0.196133, 0.1569064, 0.1569064, 0.3530394, 0.2353596, 0.1569064, 0.4707192, 0.196133, 0.3138128, 0.2745862, 0.2353596, 0.1176798, 0.1569064, 0.196133, 0.2745862, -0.0392266, 0.392266, 0.392266, 0.196133, 0.1176798]","[2.2359162, 2.353596, 2.3143694, 2.2751428, 2.1966896, 2.3143694, 2.1182364, 2.2359162, 2.0005566, 2.1966896, 2.2751428, 2.3143694, 2.0790098, 2.3143694, 2.1182364, 2.4712758, 2.157463, 2.2751428, 2.0397832, 2.1182364]",4
"[-9.5712904, -9.610517, -9.4928372, -9.2967042, -9.3751574, -9.414384, -9.3359308, -9.3751574, -9.4536106, -9.4536106, -9.5320638, -9.4928372, -9.4536106, -9.7674234, -9.218251, -9.80665, -9.5712904, -9.5712904, -9.1397978, -9.5320638]","[0.1176798, 0.1176798, 0.3138128, 0.3138128, 0.1569064, 0.0784532, 0.196133, 0.196133, 0.196133, 0.1569064, 0.1176798, 0.196133, 0.196133, 0.1176798, 0.1569064, 0.4314926, 0.2745862, 0.1569064, 0.3530394, 0.3138128]","[2.3143694, 2.3928226, 2.0397832, 2.1966896, 2.2751428, 2.2751428, 2.3143694, 2.1966896, 2.2751428, 2.1966896, 2.3143694, 2.1966896, 2.4320492, 2.1182364, 2.2751428, 2.2359162, 2.353596, 2.0397832, 2.0005566, 2.1182364]",4
"[-9.610517, -9.80665, -9.0613446, -9.5320638, -9.6497436, -9.610517, -9.4536106, -9.414384, -9.4536106, -9.414384, -9.4536106, -9.5712904, -9.5320638, -9.4928372, -9.4928372, -9.5712904, -9.5320638, -9.5712904, -9.4928372, -9.5712904]","[0.1176798, 0.4707192, 0.1176798, 0.1569064, 0.1569064, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.1569064, 0.196133, 0.2353596, 0.392266, 0.2745862, 0.196133, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.196133]","[2.4712758, 2.0790098, 2.1182364, 2.4320492, 2.3928226, 2.1966896, 2.157463, 2.2359162, 2.353596, 2.3143694, 2.2359162, 2.2751428, 2.1966896, 2.157463, 2.1966896, 2.3143694, 2.2359162, 2.157463, 2.1182364, 2.2359162]",4
"[-9.414384, -9.5712904, -9.4536106, -9.5320638, -9.4928372, -9.3751574, -9.4928372, -9.7281968, -9.5712904, -9.2574776, -9.1790244, -9.414384, -9.1790244, -9.610517, -9.1790244, -9.6889702, -9.5712904, -9.7281968, -9.5320638, -9.5712904]","[0.1569064, 0.1569064, 0.2353596, 0.3138128, 0.1176798, 0.0784532, 0.3530394, 0.2745862, 0.1569064, 0.0784532, 0.3138128, 0.2353596, 0.2745862, 0.1176798, 0.196133, 0.2745862, 0.2745862, 0.0784532, 0.1176798, 0.1569064]","[2.2751428, 2.2751428, 2.2359162, 2.157463, 2.3143694, 2.2751428, 2.1182364, 2.2751428, 2.2751428, 2.3928226, 2.0790098, 2.3143694, 2.4320492, 2.4320492, 2.2359162, 2.1182364, 2.2359162, 2.2751428, 2.2751428, 2.2359162]",4
"[-9.5320638, -9.5320638, -9.414384, -9.2967042, -9.5712904, -9.3751574, -9.5712904, -9.5712904, -9.5712904, -9.3751574, -9.4928372, -9.4928372, -9.3359308, -9.5712904, -9.4928372, -9.6889702, -9.4536106, -9.9635564, -9.5320638, -9.7281968]","[0.2353596, 0.2353596, 0.3530394, 0.3530394, 0.196133, 0.1176798, 0.1176798, 0.0784532, 0.1176798, 0.2745862, 0.2353596, 0.0784532, 0.1569064, 0.0784532, 0.1176798, 0.6668522, 0.3530394, 0.2745862, 0.196133, 0.3138128]","[2.157463, 2.157463, 1.9221034, 2.0790098, 2.2359162, 2.1182364, 2.4320492, 2.4320492, 2.3143694, 2.1182364, 2.3928226, 2.3143694, 2.157463, 2.4320492, 2.2751428, 2.1966896, 2.0790098, 1.9221034, 2.2751428, 1.9221034]",4
"[-9.218251, -9.5712904, -9.5712904, -9.5712904, -9.4928372, -9.5712904, -9.5320638, -9.4928372, -9.4928372, -9.4536106, -9.4928372, -9.4928372, -9.5320638, -9.4536106, -9.3359308, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.5712904]","[0.2745862, 0.1569064, 0.2353596, 0.196133, 0.1569064, 0.2353596, 0.1569064, 0.2745862, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.1569064, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.1569064, 0.2745862]","[2.0005566, 2.2359162, 2.353596, 2.3143694, 2.2359162, 2.2751428, 2.353596, 2.2359162, 2.1966896, 2.2359162, 2.1966896, 2.2359162, 2.2751428, 2.3143694, 2.1966896, 2.1182364, 2.2359162, 2.2751428, 2.3143694, 2.3143694]",4
"[-9.5320638, -9.5320638, -9.4928372, -9.3751574, -9.4928372, -9.5320638, -9.3359308, -9.6889702, -9.414384, -9.3751574, -9.5712904, -9.4928372, -9.8851032, -9.3751574, -9.218251, -9.3751574, -9.610517, -9.4536106, -9.5712904, -9.610517]","[0.196133, 0.196133, 0.0784532, 0.2745862, 0.2353596, 0.1569064, 0.1176798, 0.2745862, 0.2353596, 0.392266, 0.2745862, 0.196133, 0.5491724, 0.392266, 0.1176798, 0.0392266, 0.2353596, 0.2353596, 0.392266, 0.1569064]","[2.2359162, 2.2751428, 2.353596, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.353596, 2.157463, 2.1966896, 2.1182364, 2.2751428, 2.0397832, 2.1966896, 1.9221034, 2.2359162, 2.2359162, 2.3143694, 2.1182364, 2.0790098]",4
"[-9.5320638, -9.4536106, -9.5712904, -9.5712904, -9.2967042, -9.3359308, -9.4536106, -9.414384, -9.5320638, -9.5320638, -9.3751574, -9.414384, -9.5712904, -9.4928372, -9.3751574, -9.6889702, -9.7674234, -9.414384, -9.3359308, -9.7674234]","[0.2353596, 0.1176798, 0.2353596, 0.196133, 0.196133, 0.3138128, 0.2353596, 0.1569064, 0.0784532, 0.0784532, 0.2353596, 0.3138128, 0.1569064, 0.0784532, 0.196133, 0.196133, 0.2745862, 0.5099458, 0.2353596, 0.3530394]","[2.1966896, 2.3143694, 2.2751428, 2.157463, 2.2359162, 2.0397832, 2.2751428, 2.0790098, 2.353596, 2.353596, 2.3143694, 2.0790098, 2.5105024, 2.3143694, 2.3143694, 2.2359162, 2.157463, 2.1182364, 2.2751428, 1.8828768]",4
"[-9.5712904, -9.80665, -8.9828914, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.5712904, -9.4928372, -9.5320638, -9.5712904, -9.3751574, -9.5320638, -9.4536106, -9.5712904, -9.4928372, -9.4928372, -9.4536106, -9.5320638]","[0.196133, 0.3138128, 0.3530394, 0.1176798, 0.2353596, 0.196133, 0.1176798, 0.196133, 0.2353596, 0.1569064, 0.196133, 0.2745862, 0.3530394, 0.196133, 0.1569064, 0.1176798, 0.2353596, 0.2353596, 0.3138128, 0.2353596]","[2.2751428, 2.0790098, 2.1182364, 2.157463, 2.3928226, 2.2751428, 2.1966896, 2.2751428, 2.3143694, 2.157463, 2.1182364, 2.157463, 2.1966896, 2.157463, 2.2359162, 2.353596, 2.3143694, 2.1182364, 2.1966896, 2.2359162]",4
"[-9.4928372, -9.5320638, -9.5320638, -9.3751574, -9.5320638, -9.4928372, -9.4928372, -9.414384, -9.5712904, -9.6889702, -9.3751574, -9.414384, -9.4928372, -9.4928372, -9.3359308, -9.3359308, -9.7281968, -9.5320638, -9.414384, -9.7281968]","[0.0, 0.196133, 0.1176798, 0.196133, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.1569064, 0.1569064, 0.196133, 0.2745862, 0.1176798, 0.196133, 0.1176798, 0.196133, 0.196133, 0.2745862, 0.3138128, 0.1569064]","[2.3143694, 2.3143694, 2.353596, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.157463, 2.2359162, 2.3143694, 2.2751428, 2.1966896, 2.2751428, 2.2751428, 2.2359162, 2.353596, 2.4712758, 2.2751428, 2.3928226, 2.0397832]",4
