x,y,z,class
"[-9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4536106, -9.4536106, -9.4928372, -9.4928372, -9.5712904, -9.4536106, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4536106]","[0.196133, 0.2353596, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.1569064, 0.196133, 0.2353596, 0.2353596, 0.1569064, 0.2353596, 0.2353596, 0.1569064, 0.1569064, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133]","[2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.353596, 2.2359162, 2.1966896, 2.2359162, 2.3143694, 2.2359162, 2.2751428, 2.2751428]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.4536106, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.5712904, -9.4928372, -9.4928372, -9.4928372, -9.4928372]","[0.196133, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.196133, 0.1569064, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.1569064, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133]","[2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.2751428, 2.3143694, 2.2359162, 2.1966896, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4536106]","[0.1569064, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.1569064, 0.196133]","[2.2751428, 2.2359162, 2.2359162, 2.1966896, 2.3143694, 2.2359162, 2.1966896, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.3143694, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.2751428]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4536106, -9.5320638, -9.4928372, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.414384, -9.5320638, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.5320638]","[0.2745862, 0.196133, 0.2353596, 0.2353596, 0.1569064, 0.196133, 0.1569064, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.1569064]","[2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.3143694, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.353596, 2.2751428]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.5320638, -9.4536106, -9.4928372, -9.5320638, -9.5320638, -9.4928372]","[0.2353596, 0.2353596, 0.196133, 0.2353596, 0.1569064, 0.1569064, 0.1569064, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.1569064]","[2.3143694, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.1966896, 2.2751428, 2.2751428, 2.3143694, 2.2751428, 2.2359162, 2.1966896, 2.3143694, 2.2359162, 2.3143694]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.5320638]","[0.2353596, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.1569064, 0.1569064, 0.2353596, 0.196133, 0.2353596]","[2.2751428, 2.2359162, 2.3143694, 2.2751428, 2.2751428, 2.2359162, 2.1966896, 2.2359162, 2.3143694, 2.1966896, 2.3143694, 2.2751428, 2.2751428, 2.1966896, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2751428]",1
"[-9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.5320638, -9.4928372, -9.4928372, -9.5320638, -9.5320638, -9.4928372, -9.4928372, -9.4536106, -9.4536106, -9.4536106, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372]","[0.1569064, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.2353596, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.2745862, 0.2353596, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133]","[2.2751428, 2.2751428, 2.2751428, 2.353596, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.3143694, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.2751428]",1
"[-9.4536106, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372]","[0.1569064, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.1569064, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133]","[2.2751428, 2.1966896, 2.3143694, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.3143694, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.1966896, 2.2359162, 2.1966896, 2.2751428, 2.1966896, 2.1966896]",1
"[-9.4928372, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.4536106, -9.4928372, -9.5712904, -9.4928372]","[0.1569064, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133]","[2.3143694, 2.2359162, 2.2359162, 2.1966896, 2.2359162, 2.2359162, 2.2359162, 2.1966896, 2.2359162, 2.1966896, 2.3143694, 2.3143694, 2.2359162, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2751428]",1
"[-9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.4928372, -9.5320638, -9.5320638, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.5320638]","[0.1176798, 0.196133, 0.196133, 0.1569064, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.1569064, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133]","[2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.3143694, 2.2751428, 2.2751428, 2.1966896, 2.2751428, 2.1966896, 2.3143694, 2.2359162, 2.2751428]",1
