x,y,z,class
"[-9.5320638, -9.5320638, -9.5320638, -9.5320638, -9.4928372, -9.4536106, -9.4536106, -9.4928372, -9.414384, -9.4928372, -9.4536106, -9.5320638, -9.4928372, -9.4536106, -9.4928372, -9.4536106, -9.4928372, -9.4536106, -9.4928372, -9.5320638]","[0.196133, 0.2353596, 0.2745862, 0.2745862, 0.2353596, 0.1569064, 0.196133, 0.2353596, 0.1176798, 0.196133, 0.1569064, 0.196133, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.2353596, 0.2353596, 0.1569064, 0.2353596]","[2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.1966896, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.353596, 2.2359162, 2.2359162, 2.2359162, 2.1966896, 2.1966896, 2.2751428, 2.2359162, 2.1966896]",3
"[-9.4928372, -9.4536106, -9.4536106, -9.4536106, -9.4536106, -9.4928372, -9.4928372, -9.610517, -9.610517, -9.414384, -9.5320638, -9.5712904, -9.5712904, -9.414384, -9.2574776, -9.4928372, -9.414384, -9.5320638, -9.4928372, -9.4928372]","[0.1569064, 0.1569064, 0.2353596, 0.196133, 0.1569064, 0.196133, 0.1176798, 0.1569064, 0.1176798, 0.2745862, 0.196133, 0.196133, 0.0784532, 0.2745862, 0.2353596, 0.1569064, 0.196133, 0.196133, 0.2353596, 0.2353596]","[2.157463, 2.2751428, 2.2359162, 2.2359162, 2.1966896, 2.157463, 2.2751428, 2.3143694, 2.353596, 2.3143694, 2.2359162, 2.2751428, 2.2751428, 2.1966896, 2.2751428, 2.1966896, 2.2751428, 2.2751428, 2.2359162, 2.1966896]",3
"[-9.3751574, -9.4928372, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.5712904, -9.4928372, -9.5712904, -9.4536106, -9.5320638, -9.5712904, -9.3751574, -9.6889702, -9.3359308, -9.6889702, -9.5320638, -9.4536106, -9.4536106, -9.2967042]","[0.196133, 0.196133, 0.2745862, 0.2353596, 0.196133, 0.1569064, 0.196133, 0.2353596, 0.1569064, 0.196133, 0.1569064, 0.196133, 0.3138128, 0.3138128, 0.196133, 0.0784532, 0.196133, 0.2353596, 0.0784532, 0.196133]","[2.1966896, 2.2359162, 2.2359162, 2.2751428, 2.353596, 2.3143694, 2.2359162, 2.2359162, 2.353596, 2.3143694, 2.2359162, 2.2359162, 2.1966896, 2.2359162, 2.2359162, 2.157463, 2.2359162, 2.3143694, 2.3143694, 2.3143694]",3
"[-9.4928372, -9.4536106, -9.3751574, -9.4536106, -9.5320638, -9.4928372, -9.5320638, -9.5712904, -9.5320638, -9.4536106, -9.4536106, -9.4928372, -9.5712904, -9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.4536106, -9.4928372, -9.5320638]","[0.0392266, 0.1569064, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.2745862, 0.196133, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.1569064]","[2.2751428, 2.353596, 2.2359162, 2.3143694, 2.1966896, 2.3143694, 2.2359162, 2.2751428, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.3143694, 2.2751428, 2.2359162, 2.3143694, 2.2359162, 2.2751428, 2.2359162]",3
"[-9.5320638, -9.610517, -9.4928372, -9.414384, -9.4928372, -9.5320638, -9.4928372, -9.3359308, -9.4536106, -9.3751574, -9.4536106, -9.414384, -9.4928372, -9.4928372, -9.5712904, -9.414384, -9.4928372, -9.5320638, -9.5712904, -9.4536106]","[0.2353596, 0.2353596, 0.1569064, 0.196133, 0.2745862, 0.196133, 0.1569064, 0.2353596, 0.1176798, 0.196133, 0.196133, 0.2745862, 0.1569064, 0.1176798, 0.2353596, 0.1176798, 0.1569064, 0.1569064, 0.196133, 0.2745862]","[2.2751428, 2.1966896, 2.2751428, 2.2359162, 2.2359162, 2.2751428, 2.2359162, 2.2359162, 2.2359162, 2.2751428, 2.3143694, 2.2359162, 2.3143694, 2.3143694, 2.157463, 2.2751428, 2.2751428, 2.3143694, 2.3143694, 2.157463]",3
"[-9.4536106, -9.4928372, -9.4536106, -9.5712904, -9.4928372, -9.5320638, -9.414384, -9.4928372, -9.5320638, -9.5320638, -9.5320638, -9.5320638, -9.610517, -9.218251, -9.5320638, -9.1790244, -9.4928372, -9.4928372, -9.4928372, -9.2574776]","[0.2745862, 0.196133, 0.2353596, 0.2353596, 0.2745862, 0.2353596, 0.1569064, 0.2353596, 0.2353596, 0.196133, 0.1176798, 0.196133, 0.1176798, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.1569064, 0.0392266, 0.2353596]","[2.2359162, 2.1966896, 2.1966896, 2.2359162, 2.3143694, 2.353596, 2.2359162, 2.1966896, 2.2359162, 2.3143694, 2.2751428, 2.2751428, 2.3143694, 2.353596, 2.3143694, 2.2751428, 2.3143694, 2.353596, 2.2751428, 2.2359162]",3
"[-9.610517, -9.6497436, -9.610517, -9.4928372, -9.4536106, -9.5320638, -9.4536106, -9.4928372, -9.4928372, -9.4928372, -9.4928372, -9.5320638, -9.5712904, -9.5712904, -9.5320638, -9.5320638, -9.4928372, -9.4536106, -9.4536106, -9.5320638]","[0.0784532, 0.1569064, 0.1569064, 0.2353596, 0.196133, 0.2745862, 0.1176798, 0.1569064, 0.1569064, 0.1569064, 0.196133, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.2353596, 0.2353596, 0.1569064, 0.196133, 0.196133]","[2.1966896, 2.1966896, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.1966896, 2.1966896, 2.2359162, 2.2359162, 2.1966896, 2.2359162, 2.1966896, 2.2751428, 2.1966896]",3
"[-9.5712904, -9.5712904, -9.5712904, -9.4928372, -9.4536106, -9.5320638, -9.4928372, -9.4928372, -9.4536106, -9.5320638, -9.414384, -9.4536106, -9.3751574, -9.610517, -9.4928372, -9.5320638, -9.3359308, -9.5712904, -9.3751574, -9.4928372]","[0.196133, 0.196133, 0.2353596, 0.1569064, 0.1176798, 0.2353596, 0.196133, 0.196133, 0.196133, 0.196133, 0.1176798, 0.196133, 0.196133, 0.196133, 0.1569064, 0.3138128, 0.2353596, 0.196133, 0.196133, 0.1176798]","[2.3143694, 2.2359162, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.2359162, 2.2359162, 2.3143694, 2.3143694, 2.3143694, 2.1966896, 2.1966896, 2.353596, 2.3928226, 2.1966896, 2.157463, 2.2751428, 2.353596, 2.3143694]",3
"[-9.4928372, -9.414384, -9.4536106, -9.414384, -9.5712904, -9.4536106, -9.4536106, -9.4536106, -9.5712904, -9.5712904, -9.5712904, -9.4928372, -9.4928372, -9.4536106, -9.4928372, -9.610517, -9.4928372, -9.4536106, -9.414384, -9.2967042]","[0.2353596, 0.1569064, 0.2353596, 0.196133, 0.2353596, 0.2353596, 0.2353596, 0.196133, 0.196133, 0.2745862, 0.2353596, 0.1569064, 0.2745862, 0.2745862, 0.2745862, 0.1569064, 0.3138128, 0.0784532, 0.2353596, 0.1569064]","[2.2359162, 2.2751428, 2.2359162, 2.1966896, 2.2359162, 2.3143694, 2.157463, 2.2751428, 2.157463, 2.1966896, 2.2751428, 2.2751428, 2.1966896, 2.2359162, 2.1966896, 2.353596, 2.2359162, 2.2359162, 2.2359162, 2.2359162]",3
"[-9.6889702, -9.5320638, -9.4536106, -9.414384, -9.610517, -9.6889702, -9.5712904, -9.5320638, -9.4928372, -9.4536106, -9.4928372, -9.4536106, -9.4536106, -9.4536106, -9.5320638, -9.4536106, -9.4928372, -9.5320638, -9.5320638, -9.610517]","[0.196133, 0.196133, 0.3138128, 0.2353596, 0.2353596, 0.2353596, 0.1569064, 0.1569064, 0.196133, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.196133, 0.2353596, 0.1569064, 0.196133, 0.2353596, 0.2353596, 0.3138128]","[2.2359162, 2.2751428, 2.1966896, 2.2751428, 2.2359162, 2.2751428, 2.2751428, 2.1966896, 2.1966896, 2.2751428, 2.1966896, 2.2751428, 2.2359162, 2.2359162, 2.3143694, 2.2359162, 2.2751428, 2.2751428, 2.2359162, 2.2359162]",3
